En,Ru,Ko
Alchemy of Souls,Алхимия душ,환혼
Business Proposal,Деловое предложение,사내맞선
Crash Landing on You,Аварийная посадка любви,사랑의 불시착
Death's Game,Игра смерти,"이재, 곧 죽습니다"
Descendants of the Sun,Потомки солнца,태양의 후예
Doom at Your Service ,Однажды разрушение постучалось в мою дверь,어느 날 우리 집 현관으로 멸망이 들어왔다
Itaewon Class,Итэвон Класс,이태원 클라쓰
Flower of Evil,Цветок зла,악의 꽃
Goblin ,Guardian: The Lonely and Great God,쓸쓸하고 찬란하神 – 도깨비
Ghost Doctor,Призрачный доктор,고스트 닥터
Happiness,Счастье,해피니스
Lovely Runner,Хватай Сон Чжэ и беги,선재 업고 튀어
Marry My Husband,Выходи замуж за моего супруга,내 남편과 결혼해줘
Moving,Перемещение,무빙
Shopping King Louie,Король шопинга Луи,쇼핑왕 루이
Strong Woman Do Bong Soon,Силачка До Бон Сун,힘쎈여자 도봉순
Tale of the Nine Tailed,Сказание о кумихо,구미호뎐
The Glory,Слава,더 글로리
The Good Bad Mother,Плохая мать,나쁜엄마
The Secret Garden,Таинственный сад,시크릿 가든
Time Called to You,"Время, позвавшее тебя",너의 시간 속으로
Tomorrow,Завтра,내일
Twinkling Watermelon,Мерцающий арбуз,반짝이는 워터멜론
Uncounting Counter,Чудесный слух,경이로운 소문
Vincenzo,Винченцо,빈센조
Queen of Tears,Королева слез,눈물의 여왕
,,
,,
airport/plane,аэропорт/самолет,공항/비행기
ambulance,машина скорой помощи,구급차
amusement park,парк с аттракционами,놀이 공원
army,армия,군대
beach,пляж,해변
blooming trees ,цветущие деревья,피는 나무
bridge,мост,다리
Buddhist temple,буддистский монастырь,절
building's construction,стройка,건물의 건설
bus/bus stop,автобус/автобусная остановка,버스/버스 정류장
camping,отдых на природе с палатками,천막생활
cemetery/columbarium,кладбище/колумбарий,묘지/납골당
Christian church,христианская церковь,기독교 교회
cinema,кинотеатр,영화관
college/university,колледж/университет,대학
convenience store,круглосуточный магазин,편의점
countryside road,загородная дорога,시골길
court,суд,법정
crosswalk,пешеходный переход,횡단 보도
dormitory ,общежитие,기숙사
elevator,лифт,엘리베이터
game club,игровой клуб,게임 클럽
hagwon/academy,академия дополнительных занятий,학원
hospital,больница,병원
hotel,отель,호텔
Jeju island,остров Чеджу,제주도
karaoke,караоке,노래방
motel,мотель/дешевая гостиница,여관
natural park,природный парк,자연 공원
night club,ночной клуб,나이트 클럽
office,офис,사무실/사무소
ordinary inexpensive eatery,обычная недорогая забегаловка,저렴한 식당
orphanage home,детский дом,고아원 집
pharmacy,аптека,약국
photo booth,фотобудка,사진 부스
playground ,детская площадка,놀이터/운동장
police station,полицейский участок,경찰서
pretentious expensive restaurant,претенциозный дорогой ресторан,허세 비싼 레스토랑
prison/jail,тюрьма,감옥
public bathhouse,общественная баня,대중목욕탕
river Han,река Хан,한강
roof's room ,коморка на крыше,
school,школа,학교
shower,душ,샤워 설비
slot machine,игровые автоматы,슬롯 머신
stadium / pool / gym,стадион/бассейн/тренажерный зал,경기장/수영장/체육관
study cube/room,учебная ячейка,스터디 큐브
street snack cart,уличные торговые палатки,포장마차
stylish designer interior,стильный дизайнерский интерьер,세련된 디자이너 인테리어
taxi,такси,택시
traditional hanok,традиционный корейский дом,한옥
typical appartment,обычная квартира,전형적인 아파트
underwater,под водой,수중
,,
amnesia,амнезия,기억력 상실
back hug,объятья со спины,다시 포옹
blind date,свидание вслепую,소개팅/맞선
bulling,буллинг,왕따
car accident,авария,교통 사고
celebration of multiple dates,празднование круглых дат в сотнях дней,백일 축하
chat via messengers and social media,переписка в соцсетях/мессенджерах,사람들은 소셜 미디어 나 메신저를 통해 의사 소통합니다
Christmas/New Year,Рождество/Новый год,크리스마스/새해
clench fists,сжать кулаки,주먹을 꽉 쥐다
coma,кома,혼수
comforting pat,успокаивающие похлопывания,
commemoration of ancestors,почитание предков,조상을 기념하는 것
cooking,приготовление еды,요리
countdown,отсчет,카운트다운
divination,пророчество,점
exam/test,экзамен/тестирование,시험/테스트
fasten seat belt in car,пристегнуться в машине,차에 안전벨트를 매다
fireworks,фейерверк,불꽃
first year ceremony,церемония первого года ,첫해 시상식
first snow,первый снег,첫 눈
fishing,рыбалка,어업
fish kiss,рыбкин поцелуй,물고기 키스
folding linen and clothes,складывать одежду и белье,리넨과 옷을 접는
foreign trip,поездка за границу,해외 여행
funeral,похороны,장례식
hair washing,мытье волос,머리 감기
corporative/afterpaty/hweshik,корпоратив/афтерпати,법인/애프터파티/회식
interview,собеседование,회견
kneel,преклонить колени,무릎을 꿇다
medical tests,медицинское обследование,건강 검사
meeting parents,встреча с родителями,부모님을 만나다
mountain hiking,прогулки по горам,등산
naked torso / topless man,голый торс мужчины,벌거벗은 몸통 / 토플리스 남자
nosebleed,кровь из носа,코피
piggy back ride,переноска на спине,어부바
pinky promise,обещание на мизинцах,새끼 손가락 약속
picnick,пикник,피크닉
prophetic dream,вещий сон,예언적인 꿈
proposal,предложение,proposal
pour drinks like a pro,алкогольные выкрутасы,프로처럼 술을 따르다
real tears crying,плакать настоящими слезами,진짜 눈물난다
rithual/exorcism,ритуал/экзорцизм,의식/퇴마
rock-paper-scissors,камень-ножницы-бумага,가위 바위 보
rumbling in the stomach,бурчание в животе,뱃속에서 덜거덕거리는 소리
running / jogging,бег/пробежка,달리기/조깅
serious illness,тяжелая болезнь,심각한 병
sharp car/motorbike turn,резкий поворот машины/мотоцикла,자동차/오토바이의 급회전
shopping,покупки,구매/쇼핑
signing a contract,подписание контракта,계약서에 서명하다
sign languages,жестовый язык,수화
sleep in clothes,спать не раздеваясь,옷을 입고 자다/옷도 벗지 않고 자다
studies,учеба,연구
suicide/attempted suicide,самоубийство/попытка самоубийства,자살/자살 시도
teeth cleaning,чистить зубы,치아 청소
wedding,свадьба,혼례
washing ,стирка/мытье,세탁
waste sorting,сортировка мусора,폐기물 분류
,,
apron,фартук,앞치마
baseball bat,бейсбольная бита,야구 방망이
baseball hat ,бейсболка,야구 모자
bicycle,велосипед,자전거
bouquet,букет,꽃다발
cash,наличные деньги,현금
coffee maker,кофеварка,커피 메이커
credit card,кредитная карта,신용 카드
designer's / brend items,дизайнерские/брендовые вещи,디자이너/브랜드 아이템
drop counter,капельница,드롭 카운터
european cutlery,европейские столовые приборы,유럽식 칼
family pictures,семейные портреты,가족 사진
golf iron,клюшка для гольфа,골프 아이언
hanbok,ханбок,한복
handcuffs,наручники,수갑
headphones / earphones,наушники,헤드폰/이어폰
head rim,ободок на голову,머리에 테두리
kitchen knife,кухонный нож,부엌 칼
medical mask,медицинская маска,의료용 마스크
medicine,лекарства,약
microwave,микроволновка,마이크로파
money count/bank book,банковская книжка,통장
paired items,парные предметы,페어링된 항목
pan/saucepan,сковорода/кастрюля,팬/소스팬
patch,пластырь,피부 패치
people search flyer,листовка поска людей,사람들이 찾는 전단지
ring,кольцо,반지
Samsung or Apple phone,телефоны Самсунг или Айфон,삼성이나 애플폰
scarf,шарф,스카프
scootter,мопед,스쿠터
slippers,домашние тапочки,슬리퍼
soft toy,мягкая игрушка,부드러운 장난감
shoes and boots (close-up),обувь (крупным планом),신발과 부츠(클로즈업)
sunglasses,темные очки,색안경
tickets,билеты,티켓
traditional chopsticks and spoon,традиционные приборы: палочки и ложка,전통 젓가락과 숟가락
umbrella,зонтик,우산
wheelchair ,инвалидное кресло,바퀴 달린 의자
works of art,произведение искусства,예술 작품
,,
abalone ,каша с морским ушком,
beer,пиво,
cake with candles,торт со свечками,
coffee,кофе,
fried chicken,жареная курочка,
grilled meat and offal,мясо и требуха на гриле,
hangover cure,средства от похмелья,
ice cream,мороженное,
korean beef,корейская говядина,
makgeolli,макголи,
peeled and chopped fruits,очищенные и нарезанные фрукты,
ramen,рамён,
released tofu,тофу освобожденному ,
samgyopsal,самгёпсаль,
seaweed soup,суп из водорослей,
soju,соджу,
spicy chicken feet,острые куриные лапки,
sunde,сунде,
toppokki,топпокки,
wine,вино,
,,
alien,инопланетянин,
bandit,гангстер/бандит,
Buddhist monks/nuns,буддистский монах/монахиня,
Christian priests/monks/nuns,христианские священники/монахи/монашки,
fan ,фанат,
god,божество,
hostage,заложник,인질
K-pop artists/idols,айдол,
neighbours,соседи,
orphan,сирота,
policeman,полицейский,
procecutor,прокурор,
rich chaebol,богатый наследник/чеболь,
scientist,ученый,
secretar,секретарь,
serial killer,серийный убийца,
shaman,шаман,
spirits/ghosts,дух/привидение,
stalker,сталкер,
zombie,зомби,
,,
childhood psychotrauma,детская психотравма,
rigid hierarchy,жесткая иерархия,
love triangle,любовный треугольник,
respect for elders,уважение старших,
nicknames instead of real names,прозвище вместо настоящего имени,
hidden family secret,скрываемый семейный секрет,
parental consent to marriage,согласие родителей на брак,
bromance,броманс,
time traveling,путешествие во времени,
,,
animation,анимация,
split screen,разделение экрана,
flash back,флешбэк,
toilet humor,юмор ниже пояса,
eye-catching product placement,вырвиглазная реклама,
time disorder,,
,,
Chinese characters/hieroglyphs (for name) ,китайские иероглифы (для имени),
